stats_o/std,stats_g/mean,stats_g/std,train/success_rate,train/episode,stats_o/mean,test/mean_Q,epoch,test/success_rate,test/episode
0.9241128,0.36732006,0.21678443,0.0033333333333333335,17700.0,0.2097205,-46.03354,177,0.008333333333333333,3540.0
0.9241058,0.3673186,0.21679254,0.0025,17800.0,0.2097209,-46.28423,178,0.020833333333333332,3560.0
0.92409945,0.3673171,0.216801,0.0016666666666666668,17900.0,0.20972157,-46.131954,179,0.020833333333333332,3580.0
0.924093,0.36731586,0.21680975,0.0,18000.0,0.20972149,-48.03368,180,0.0,3600.0
0.9240859,0.36731425,0.21681802,0.0016666666666666668,18100.0,0.20972122,-48.2533,181,0.008333333333333333,3620.0
0.9240778,0.36731377,0.21682759,0.0,18200.0,0.2097209,-47.451687,182,0.008333333333333333,3640.0
0.92406887,0.3673133,0.21683462,0.0033333333333333335,18300.0,0.20972049,-49.078625,183,0.012500000000000002,3660.0
0.9240618,0.3673133,0.21684377,0.0016666666666666668,18400.0,0.20972018,-47.240955,184,0.008333333333333333,3680.0
0.9240543,0.3673121,0.21685271,0.0025,18500.0,0.20972057,-49.686584,185,0.025000000000000005,3700.0
0.9240448,0.36731124,0.21686156,0.0008333333333333334,18600.0,0.2097205,-52.13071,186,0.016666666666666666,3720.0
0.92403436,0.3673102,0.21686864,0.0016666666666666668,18700.0,0.20971934,-49.190327,187,0.016666666666666666,3740.0
0.9240257,0.36731148,0.21687545,0.0008333333333333334,18800.0,0.20971827,-50.942104,188,0.008333333333333333,3760.0
0.9240169,0.36731187,0.21688454,0.0016666666666666668,18900.0,0.20971759,-49.602154,189,0.02916666666666667,3780.0
0.9240052,0.36731115,0.21689121,0.0008333333333333334,19000.0,0.20971696,-50.954987,190,0.008333333333333333,3800.0
0.9239938,0.36730966,0.21689902,0.0008333333333333334,19100.0,0.20971565,-50.065647,191,0.020833333333333332,3820.0
0.92398196,0.36730865,0.2169068,0.0008333333333333334,19200.0,0.20971493,-50.510967,192,0.012500000000000002,3840.0
0.92397004,0.3673086,0.2169158,0.0008333333333333334,19300.0,0.20971422,-54.713825,193,0.0,3860.0
0.92395854,0.36730918,0.21692123,0.0,19400.0,0.20971264,-50.636963,194,0.020833333333333332,3880.0
0.92394656,0.36730883,0.21692562,0.0008333333333333334,19500.0,0.20971136,-51.231762,195,0.03333333333333333,3900.0
0.9239333,0.3673087,0.21693064,0.0,19600.0,0.20971066,-51.957165,196,0.012500000000000002,3920.0
0.9239194,0.36730757,0.21693797,0.0,19700.0,0.20971023,-52.45609,197,0.016666666666666666,3940.0
0.9239061,0.36730805,0.21694303,0.0016666666666666668,19800.0,0.20970868,-52.033722,198,0.008333333333333333,3960.0
0.9238922,0.3673087,0.21694832,0.0008333333333333334,19900.0,0.20970826,-54.444073,199,0.004166666666666667,3980.0
0.9238793,0.36730972,0.2169534,0.0008333333333333334,20000.0,0.20970722,-53.01417,200,0.004166666666666667,4000.0
0.9238655,0.36730996,0.2169578,0.0025,20100.0,0.20970638,-54.535503,201,0.004166666666666667,4020.0
0.9238511,0.3673109,0.21696372,0.0025,20200.0,0.2097054,-54.930103,202,0.016666666666666666,4040.0
